Intervals, Processes, Pi, Error, Time (sec), Number of Tasks/Node
10000000000, 64, 3.1415926535897745, 5.94e-15,   9.4836, 1
10000000000, 64, 3.1415926535897745, 5.94e-15,   5.1572, 2
10000000000, 64, 3.1415926535897745, 5.94e-15,   2.5917, 4
10000000000, 64, 3.1415926535897745, 5.94e-15,   2.5801, 8
10000000000, 64, 3.1415926535897745, 5.94e-15,   2.5737, 16
10000000000, 64, 3.1415926535897745, 5.94e-15,   2.5897, 32
10000000000, 64, 3.1415926535897745, 5.94e-15,   2.5862, 40
10000000000, 64, 3.1415926535897745, 5.94e-15,   2.5721, 48


